,iso,country,gdp_pc,gpi_rank,gpi_score,percentage_non_religious
0,AFG,Afghanistan,900,157,3.252,0.0
1,AGO,Angola,8200,95,2.105,0.3
2,ALB,Albania,8000,66,1.927,8.5
3,ARE,United Arab Emirates,49600,46,1.785,0.0
4,ARG,Argentina,14700,44,1.763,1.19
5,ARM,Armenia,5700,115,2.238,0.0
6,AUS,Australia,41000,22,1.494,19.0
7,AUT,Austria,40400,6,1.328,30.2
8,AZE,Azerbaijan,10900,132,2.36,0.0
9,BDI,Burundi,300,138,2.524,0.0
10,BEL,Belgium,37800,11,1.376,42.5
11,BEN,Benin,1500,114,2.231,6.5
12,BFA,Burkina Faso,1200,56,1.881,0.0
13,BGD,Bangladesh,1700,91,2.071,0.0
14,BGR,Bulgaria,13500,39,1.699,0.0
15,BHR,Bahrain,40300,118,2.247,0.0
16,BIH,Bosnia Herzegovina,6600,65,1.923,9.9
17,BLR,Belarus,13600,109,2.208,0.0
18,BOL,Bolivia,4800,84,2.021,2.0
19,BRA,Brazil,10800,83,2.017,7.6
20,BTN,Bhutan,5500,19,1.481,0.0
21,BWA,Botswana,14000,31,1.621,1.0
22,CAF,Central African Republic,700,151,2.872,0.0
23,CAN,Canada,39400,4,1.317,25.5
24,CHE,Switzerland,42600,10,1.349,15.4
25,CHL,Chile,15400,30,1.616,8.3
26,CHN,China,7600,89,2.061,50.0
27,CIV,Ivory Coast,1800,134,2.419,0.0
28,CMR,Cameroon,2300,97,2.113,0.0
29,COD,Democratic Republic of the Congo,300,154,3.073,0.0
30,COG,Republic of Congo,300,104,2.148,0.0
31,COL,Colombia,9800,144,2.625,2.0
32,CRI,Costa Rica,11300,36,1.659,6.2
33,CUB,Cuba,9900,70,1.951,9.0
34,CYP,Cyprus,28900,73,1.957,1.3
35,CZE,Czech Republic,25600,13,1.396,67.8
36,DEU,Germany,35700,15,1.424,40.0
37,DJI,Djibouti ,2800,56,1.881,0.0
38,DNK,Denmark,36600,2,1.239,6.9
39,DOM,Dominican Republic,9800,90,2.068,6.55
40,DZA,Algeria,7300,121,2.255,0.0
41,ECU,Ecuador,7800,85,2.028,1.5
42,EGY,Egypt,6200,111,2.22,0.0
43,ERI,Eritrea,600,122,2.264,0.1
44,ESP,Spain,29400,25,1.548,30.0
45,EST,Estonia,19100,41,1.715,60.0
46,ETH,Ethiopia,1000,137,2.504,0.0
47,FIN,Finland ,35400,9,1.348,16.0
48,FRA,France,33100,40,1.71,47.5
49,GAB,Gabon,14500,75,1.972,5.0
50,GBR,United Kingdom,34800,29,1.609,33.75
51,GEO,Georgia,4900,141,2.541,0.7
52,GHA,Ghana,2500,50,1.807,6.1
53,GIN,Guinea,1000,92,2.073,0.0
54,GMB,Gambia,1900,74,1.961,0.0
55,GNB,Guinea-Bissau,1100,95,2.105,0.0
56,GNQ,Equatorial Guinea,36600,87,2.039,1.0
57,GRC,Greece,29600,77,1.976,0.0
58,GTM,Guatemala,5200,124,2.287,1.9
59,GUY,Guyana,7200,69,1.937,4.0
60,HND,Honduras,4200,129,2.339,1.1
61,HRV,Croatia,17400,35,1.648,3.6
62,HTI,Haiti,1200,107,2.179,1.0
63,HUN,Hungary,18800,17,1.476,24.7
64,IDN,Indonesia,4200,63,1.913,0.0
65,IND,India,3500,142,2.549,0.1
66,IRL,Ireland,37300,6,1.328,6.3
67,IRN,Iran,10600,128,2.324,0.0
68,IRQ,Iraq,3800,155,3.192,0.0
69,ISL,Iceland,38300,1,1.113,10.04
70,ISR,Israel,29800,150,2.842,3.4
71,ITA,Italy,30500,38,1.69,20.5
72,JAM,Jamaica,8300,113,2.222,3.0
73,JOR,Jordan,5400,62,1.905,0.0
74,JPN,Japan,34000,5,1.326,77.0
75,KAZ,Kazakhstan,12700,105,2.151,5.0
76,KEN,Kenya,1600,120,2.252,0.0
77,KGZ,Kyrgyz Republic,2200,131,2.359,0.0
78,KHM,Cambodia,2100,108,2.207,0.4
79,KOR,South Korea,30000,42,1.734,52.0
80,KWT,Kuwait,48900,47,1.792,0.07
81,LAO,Laos,2500,37,1.662,0.25
82,LBN,Lebanon,14400,136,2.459,0.0
83,LBR,Liberia,500,101,2.131,0.1
84,LBY,Libya,14000,147,2.83,0.2
85,LKA,Sri Lanka,5000,103,2.145,0.0
86,LSO,Lesotho,1700,53,1.864,0.0
87,LTU,Lithuania,16000,43,1.741,9.5
88,LVA,Latvia,14700,45,1.774,24.5
89,MAR,Morocco,4800,54,1.867,0.0
90,MDA,Moldova,2500,66,1.927,0.1
91,MDG,Madagascar,900,99,2.124,0.4
92,MEX,Mexico,13900,135,2.445,10.64
93,MKD,Macedonia (FYR),9700,68,1.935,0.0
94,MLI,Mali,1200,102,2.132,0.0
95,MMR,Myanmar,1400,139,2.525,0.0
96,MNE,Montenegro,10100,81,2.006,4.25
97,MNG,Mongolia,3600,58,1.884,38.6
98,MOZ,Mozambique,1000,48,1.796,5.0
99,MRT,Mauritania,2100,125,2.301,0.1
100,MUS,Mauritius,2100,21,1.487,0.7
101,MWI,Malawi,800,60,1.894,4.3
102,MYS,Malaysia,14700,20,1.485,0.8
103,NAM,Namibia,6900,49,1.804,0.0
104,NER,Niger,700,116,2.241,0.0
105,NGA,Nigeria,2500,146,2.801,0.0
106,NIC,Nicaragua,3000,81,2.006,2.0
107,NLD,Netherlands,40300,28,1.606,59.0
108,NOR,Norway,54600,18,1.48,6.7
109,NPL,Nepal,1200,80,2.001,0.0
110,NZL,New Zealand,27700,2,1.239,34.6
111,OMN,Oman,25600,59,1.887,0.2
112,PAK,Pakistan,2500,149,2.833,0.2
113,PAN,Panama,13000,61,1.899,2.0
114,PER,Peru,9200,79,1.995,2.0
115,PHL,Philippines,3500,133,2.415,0.1
116,PNG,Papua New Guinea,2500,93,2.076,0.0
117,POL,Poland,18800,24,1.524,3.0
118,PRK,North Korea,1800,152,2.932,12.5
119,PRT,Portugal,23000,16,1.47,8.38
120,PRY,Paraguay,5200,76,1.973,3.25
121,ROU,Romania,11600,32,1.627,0.1
122,RUS,Russia,15900,153,2.938,32.0
123,RWA,Rwanda,1100,119,2.25,1.7
124,SAU,Saudi Arabia,24200,106,2.178,0.0
125,SDN,Sudan,2300,156,3.193,0.0
126,SEN,Senegal,1900,78,1.994,0.0
127,SGP,Singapore,62100,23,1.521,13.0
128,SLE,Sierra Leone,900,52,1.855,0.0
129,SLV,El Salvador,7200,111,2.22,1.0
130,SOM,Somalia,600,158,3.392,0.0
131,SRB,Serbia,10900,64,1.92,5.0
132,SVK,Slovakia,22000,26,1.59,15.8
133,SVN,Slovenia,28200,8,1.33,30.0
134,SWE,Sweden,39100,14,1.419,31.5
135,SWZ,Swaziland,4500,85,2.028,1.0
136,SYR,Syria,4800,147,2.83,0.0
137,TCD,Chad,1600,145,2.671,4.8
138,THA,Thailand,8700,126,2.303,0.0
139,TJK,Tajikistan,2000,99,2.124,0.1
140,TKM,Turkmenistan,7500,117,2.242,1.7
141,TTO,Trinidad and Tobago,21200,94,2.082,3.3
142,TUN,Tunisia,9400,72,1.955,0.0
143,TUR,Turkey,7500,130,2.344,0.0
144,TWN,Taiwan,35700,27,1.602,0.0
145,TZA,Tanzania,1400,55,1.873,0.5
146,UGA,Uganda,1300,98,2.121,0.9
147,UKR,Ukraine,6700,71,1.953,0.0
148,URY,Uruguay,13700,33,1.628,17.0
149,USA,United States of America,47200,88,2.058,15.1
150,UZB,Uzbekistan,3100,110,2.219,1.2
151,VEN,Venezuela,12700,123,2.278,0.5
152,YEM,Yemen,2700,143,2.601,0.02
153,ZAF,South Africa,10700,127,2.321,1.0
154,ZMB,Zambia,1500,51,1.83,5.0
155,ZWE,Zimbabwe,500,140,2.538,1.1
