country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",iso,relpct,region
Afghanistan,2016,4.220168591,7.461400986,0.5590717789999999,52.01652908,0.522566199,0.057072122,0.7932455540000001,0.564952672,0.348332286,0.324989557,-1.9176934959999998,-1.432547569,1.796219468,0.42562741,,,0.418629497,AFG,100.0,South Asia
Albania,2016,4.511100769,9.337774277000001,0.638411462,68.87181091,0.72981894,-0.023275997000000003,0.901070774,0.675243735,0.32170599699999997,0.400909811,0.208455563,-0.13916140800000001,2.646668196,0.586701214,,0.30325,0.416540354,ALB,91.5,Central and Eastern Europe
Algeria,2016,5.340853691,9.541166306000001,0.7485882640000001,65.50951385,,,,0.66051048,0.377111971,,-1.008261681,-0.814303935,2.114553452,0.395920485,,0.276,0.6046167020000001,DZA,100.0,Middle East and North Africa
Argentina,2016,6.427221297999999,9.824954987,0.882819116,67.39851379,0.847702205,-0.19195242199999998,0.850924492,0.8419067259999999,0.31164646100000004,0.419561833,0.381369591,-0.238001987,2.127108574,0.330953062,,0.47606666700000005,0.332070827,ARG,98.81,Latin America and Caribbean
Armenia,2016,4.325471878,9.010698318,0.709218323,64.96273041,0.610986948,-0.158838838,0.9214210509999999,0.593600273,0.437227815,0.18471303600000002,-0.609074652,-0.143277928,2.126364231,0.491591275,,0.325066667,0.381563634,ARM,100.0,Commonwealth of Independent States
Australia,2016,7.250080109,10.70131111,0.942334235,72.65033722,0.922315717,0.223268315,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.1322160959999998,1.7511913780000001,1.6988278630000002,0.234318495,,0.34275,0.520914137,AUS,81.0,North America and ANZ
Austria,2016,7.048071861,10.70004845,0.9263185859999999,72.04971313,0.888513982,0.071684547,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.05376327,1.568969846,1.7044001819999999,0.241825029,,0.303818182,0.292294294,AUT,69.8,Western Europe
Azerbaijan,2016,5.303894997,9.679969788,0.777271032,62.96992874,0.712573171,-0.22794014199999998,0.606770813,0.5975934860000001,0.191117197,0.734052122,-1.236555338,-0.468448669,1.613181591,0.30415037300000003,,0.228833333,0.288716018,AZE,100.0,Commonwealth of Independent States
Bahrain,2016,6.169673443,10.70677662,0.862700105,66.00422668,0.888691068,0.07174377900000001,,0.7871872190000001,0.283466339,,-1.154168129,0.333238959,2.259225607,0.366182357,,,0.482455522,BHR,100.0,Middle East and North Africa
Bangladesh,2016,4.556140900000001,8.107524872,0.649116933,62.20419693,0.874700487,-0.08276486400000001,0.6878536340000001,0.559939086,0.235022455,0.845429063,-0.899546862,-0.719571948,1.982582808,0.435145199,,0.32899999999999996,0.440177441,BGD,100.0,South Asia
Belarus,2016,5.177899361000001,9.725690842,0.9265511040000001,66.02493286,0.658228815,-0.136783347,0.664055169,0.5538702010000001,0.18210612199999998,0.452669024,-0.635685742,-0.630231619,1.777631164,0.34331125,,0.281875,0.316431254,BLR,100.0,Commonwealth of Independent States
Belgium,2016,6.948936462000001,10.64682102,0.9289640779999999,72.14292908,0.865759015,-0.064890452,0.49665909999999996,0.764590085,0.259653389,0.41917750200000004,0.91794914,1.4181997780000002,1.497023702,0.215432063,,0.28518181800000003,0.34862980200000004,BEL,57.5,Western Europe
Benin,2016,4.0073575969999995,7.605870724,0.49281585200000005,51.56885147,0.7797952290000001,-0.040266801,0.837715745,0.608236969,0.45576760200000005,0.63744539,0.27533644399999996,-0.557726622,2.191754103,0.546932518,,0.432666667,0.464345634,BEN,93.5,Sub-Saharan Africa
Bolivia,2016,5.769723415,8.811049461,0.7959587570000001,59.99718094,0.8817487359999999,-0.042584933,0.852592945,0.783008873,0.376412243,0.40174228,-0.097718753,-0.8520423770000001,2.050573111,0.355402321,,0.531642857,0.430949569,BOL,98.0,Latin America and Caribbean
Bosnia and Herzegovina,2016,5.180865288,9.334980965,0.8077051040000001,67.83840942,0.633453727,0.132285133,0.957311988,0.640764356,0.304080278,0.212188497,-0.27105844,-0.341164827,2.216048717,0.427737176,,0.32725,0.39874333100000003,BIH,90.1,Central and Eastern Europe
Botswana,2016,3.4989366530000003,9.662895203,0.768302798,57.10989761,0.851694882,-0.26203829100000003,0.729171813,0.68566674,0.251836598,0.803130805,0.758626878,0.622945905,2.685791492,0.767602205,,0.626,0.658420265,BWA,99.0,Sub-Saharan Africa
Brazil,2016,6.374817371000001,9.548503876,0.912455142,65.2454071,0.806571543,-0.112877078,0.781092763,0.763112426,0.30208382,0.264140248,0.010510071999999999,-0.226890311,2.518039227,0.394997865,,0.550214286,0.450316846,BRA,92.4,Latin America and Caribbean
Bulgaria,2016,4.837560654,9.786640167,0.92603606,66.4154892,0.700265527,-0.176258981,0.9359881879999999,0.62185514,0.171699852,0.221241772,0.231031746,0.187336802,1.917592525,0.396396577,,0.35466666700000005,0.353391379,BGR,100.0,Central and Eastern Europe
